,user_name,user_id,tweet_id,text,retweet_count,tweet_date
0,Elon Musk,44196397,1533992088206921728,@PPathole It will be our best product ever imo,1331,06/07/2022
1,Elon Musk,44196397,1533857698575310848,"What resolution is life in, 8k? – SJM",5170,06/06/2022
2,Elon Musk,44196397,1533839270976204801,@realMeetKevin Correct,1583,06/06/2022
3,Elon Musk,44196397,1533834416656486401,"@realchrisrufo @Liv_Boeree There are still some great journalists at WaPo, but the trend is super bad",824,06/06/2022
4,Elon Musk,44196397,1533834190600347648,@corkyjames @realchrisrufo 🤣,111,06/06/2022
5,Elon Musk,44196397,1533798671984119808,"@BBC_Future Most people still think China has a one-child policy. 

China had its lowest birthdate ever last year, despite having a three-child policy!

At current birth rates, China will lose ~40% of people every generation!

Population collapse.",6465,06/06/2022
6,Elon Musk,44196397,1533633958776291333,@PPathole Romeo and Juliet,299,06/06/2022
7,Elon Musk,44196397,1533629871234097152,@BillyM2k 🤣👍,621,06/06/2022
8,Elon Musk,44196397,1533619000986554368,If chess was released as a video game https://t.co/8SuK8Mg7yT,17478,06/06/2022
9,Elon Musk,44196397,1533617320769232900,@EvaFoxU @WholeMarsBlog Such a dapper fellow!,140,06/06/2022
10,Elon Musk,44196397,1533616384747442176,The acid test for any two competing socioeconomic systems is which side needs to build a wall to keep people from escaping? That’s the bad one!,17670,06/06/2022
11,Elon Musk,44196397,1533606056756137985,"Realized what I have in common with environmentalists, but also why they’re so annoyingly wrong: 

They are conservationists of what is, whereas they should be conservationists of our potential over time, our cosmic endowment.

(From a friend)",5579,06/06/2022
12,Elon Musk,44196397,1533604878546870274,@WholeMarsBlog There are so many crazy rules like this that make it extremely difficult to build anything new in California,2563,06/06/2022
13,Elon Musk,44196397,1533603431373578241,"From Shakespeare’s The Tempest, but I much prefer it literally vs ironically",2183,06/06/2022
14,Elon Musk,44196397,1533603131606671361,"O wonder!
How many goodly creatures are there here!
How beauteous mankind is! O brave new world,
That has such people in't.",5568,06/06/2022
15,Elon Musk,44196397,1533600925209837568,@mlakan @EpochTimes Earth could sustain many times its current human population and the ecosystem would be fine. We definitely don’t have “too many people”.,9264,06/06/2022
16,Elon Musk,44196397,1533527996149145601,@nytimes This sounds promising,1187,06/05/2022
17,Elon Musk,44196397,1533526252052951041,@Neuro_Skeptic We are a brain in a vat – the vat is our skull. All our senses and memories are electrical signals.,1794,06/05/2022
18,Elon Musk,44196397,1533525801764798470,"RT @Tesla: HEPA air filter in Model Y, S and X removes &gt;99.97% of dust, pollen, mold, bacteria and any airborne particles https://t.co/I8yC…",3411,06/05/2022
19,Elon Musk,44196397,1533413197629296640,"Some hate humanity, but I love humanity so much",30779,06/05/2022
20,Elon Musk,44196397,1533412524418387970,"@baierm588 Build 1000+ Starships to transport life to Mars. Basically, (very) modern Noah’s Arks.",847,06/05/2022
21,Elon Musk,44196397,1533411722618449921,@RenataKonkoly Maybe we should make an actual Starship model that dispenses pez for our merch store,464,06/05/2022
22,Elon Musk,44196397,1533410745429413888,"Making life multiplanetary expands the scope &amp; scale of consciousness. 

It also enables us to backup the biosphere, protecting all life as we know it from a calamity on Earth.

Humanity is life’s steward, as no other species can transport life to Mars. We can’t let them down.",11710,06/05/2022
23,Elon Musk,44196397,1533408313894912001,Deck from SpaceX all-hands update talk I gave last week https://t.co/ApsdPjjukh,5519,06/05/2022
24,Elon Musk,44196397,1533393917797965824,@GalaxyHeroesGHC It should be possible,1378,06/05/2022
25,Elon Musk,44196397,1533393128593444870,@lexfridman That is why we must expand the scope &amp; scale of consciousness – so that we may learn the answers to these questions,4561,06/05/2022
26,Elon Musk,44196397,1533285679035207681,@Tesmanian_com Accurate,918,06/05/2022
27,Elon Musk,44196397,1533256317766443008,"@TimDOES @chazman @aelluswamy Not perfect, but should be better",121,06/05/2022
28,Elon Musk,44196397,1533255046430867458,@chazman @aelluswamy 10.13 will solve your left turn most of the time,379,06/05/2022
29,Elon Musk,44196397,1533204963597459456,"@GasOff2 Yes, car will navigate to a pin location, even if in a complex surface parking lot or hotel entrance.

When in covered or underground parking lots, car will have to navigate using only inertial measurement, wheel movement &amp; vision, as GPS signal is no longer available.",286,06/04/2022
30,Elon Musk,44196397,1533182094784057346,"@slashdot Remarkable, although, as noted, there are big differences between humans and mice. We can cure a mouse of almost any cancer, but most of those cures don’t work with humans.",2346,06/04/2022
31,Elon Musk,44196397,1533180912879403008,@v_g_fischer We are close to the point where offering something for EU regulators to review makes sense,273,06/04/2022
32,Elon Musk,44196397,1533179948743151616,"Also, FSD Beta 10.12.2 now expanding to 100k cars. 

10.13 smooths out intersection control, especially long lefts, and starts to handle roads with no map data at all. 

Last point is a big deal. Within a few months, FSD should be able to drive to a GPS point with zero map data.",2339,06/04/2022
33,Elon Musk,44196397,1533178078683357189,"Working on Tesla North American service. 

Goal is 2/3 of cars receive same-day service, no wait.",4913,06/04/2022
34,Elon Musk,44196397,1533177579984900096,@BillyM2k BTS music videos are 🔥🔥,7693,06/04/2022
35,Elon Musk,44196397,1533176789022957568,"@WholeMarsBlog Total headcount will increase, but salaried should be fairly flat",958,06/04/2022
36,Elon Musk,44196397,1533173929279365122,@ExplainThisBob 🎯,153,06/04/2022
37,Elon Musk,44196397,1533173533966221312,"Sometimes I think my list of enemies is too short, so …",9975,06/04/2022
38,Elon Musk,44196397,1533166771359862784,@Kristennetten @alifarhat79 @VanityFair Interesting,429,06/04/2022
39,Elon Musk,44196397,1533163139470180353,"@alifarhat79 Ah yes, Maxwell photobombing me at a @VanityFair Oscars party – you should them why they invited her. 

The same people who push this photo say nothing about prominent people who actually went to his island a dozen times. Also very strange …",7331,06/04/2022
40,Elon Musk,44196397,1533161685057421312,@pity_martine Are you saying that this is a far left taunt?,597,06/04/2022
